amfi_code,scheme_name,cagr,sharpe,sortino,max_drawdown,last_nav,updated_at
100016,100016,2.64,-0.2,-0.35,-24.73,583.61,2026-06-13 10:34:21.081040
100025,100025,4.46,-0.57,-0.94,-4.31,31.88,2026-06-13 10:34:21.085581
100033,100033,30.12,1.09,1.83,-16.22,342.01,2026-06-13 10:34:21.089143
101206,101206,23.54,1.03,1.8,-11.29,773.29,2026-06-13 10:34:21.092143
101207,101207,7.94,0.16,0.28,-35.45,53.98,2026-06-13 10:34:21.094532
101208,101208,6.51,-0.82,-1.68,-0.16,410.1,2026-06-13 10:34:21.097901
102885,102885,18.23,0.82,1.44,-10.86,187.78,2026-06-13 10:34:21.100389
102886,102886,1.17,-0.21,-0.35,-28.0,125.56,2026-06-13 10:34:21.102233
102887,102887,16.84,0.62,1.09,-21.29,378.97,2026-06-13 10:34:21.104159
118632,Nippon Large Cap,20.55,0.85,1.17,-17.41,98.18,2026-06-13 10:34:21.105975
118633,118633,16.27,0.65,1.15,-18.63,91.6,2026-06-13 10:34:21.108731
118634,118634,16.37,0.45,0.75,-23.34,134.67,2026-06-13 10:34:21.110604
118635,118635,15.96,0.66,1.14,-11.51,326.75,2026-06-13 10:34:21.112180
118636,118636,5.32,-0.36,-0.61,-8.32,37.82,2026-06-13 10:34:21.113902
119092,Axis Bluechip,213.59,0.47,323.55,-14.4,6181.81,2026-06-13 10:34:21.115454
119093,119093,7.9,0.13,0.22,-21.75,58.42,2026-06-13 10:34:21.116989
119094,119094,28.21,1.0,1.7,-20.96,203.86,2026-06-13 10:34:21.118869
119095,119095,1.52,-0.08,-0.13,-51.68,56.13,2026-06-13 10:34:21.120545
119120,119120,5.89,-0.23,-0.38,-4.33,54.2,2026-06-13 10:34:21.122126
119551,SBI Bluechip,16.15,0.52,0.48,-30.21,105.69,2026-06-13 10:34:21.123965
119552,119552,21.52,0.95,1.61,-11.8,137.73,2026-06-13 10:34:21.125624
119598,119598,32.42,0.95,1.68,-28.71,309.2,2026-06-13 10:34:21.127475
119599,119599,2.05,-0.06,-0.09,-52.57,105.48,2026-06-13 10:34:21.129632
120503,ICICI Bluechip,15.55,0.59,0.8,-13.9,105.21,2026-06-13 10:34:21.132079
120504,120504,23.3,1.03,1.81,-12.59,151.13,2026-06-13 10:34:21.134603
120505,120505,32.83,1.18,2.03,-18.19,473.76,2026-06-13 10:34:21.137204
120506,120506,17.08,0.65,1.1,-19.83,404.42,2026-06-13 10:34:21.140052
120507,120507,7.24,0.5,1.05,-0.1,388.59,2026-06-13 10:34:21.143069
120841,Kotak Bluechip,-2.66,-0.16,-0.12,-49.5,244.72,2026-06-13 10:34:21.145793
120842,120842,6.7,0.08,0.12,-24.0,82.65,2026-06-13 10:34:21.148489
120843,120843,30.91,1.31,2.36,-12.97,163.24,2026-06-13 10:34:21.151195
120844,120844,6.92,-0.09,-0.19,-0.12,4268.55,2026-06-13 10:34:21.153567
125497,HDFC Top 100 Direct,-21.02,-0.17,-0.12,-84.72,196.56,2026-06-13 10:34:21.155542
125498,125498,11.3,0.3,0.51,-21.12,188.36,2026-06-13 10:34:21.157254
148567,148567,30.97,1.45,2.39,-11.27,230.27,2026-06-13 10:34:21.158836
148568,148568,22.52,0.93,1.63,-15.27,205.45,2026-06-13 10:34:21.160397
148569,148569,31.95,1.23,2.15,-16.4,97.74,2026-06-13 10:34:21.161963
149322,149322,13.39,0.46,0.76,-14.11,606.23,2026-06-13 10:34:21.163512
149323,149323,29.58,1.13,1.88,-17.25,245.37,2026-06-13 10:34:21.165075
149324,149324,32.29,0.95,1.62,-31.17,279.75,2026-06-13 10:34:21.166668
