rank,amfi_code,cagr_1y,cagr_3y,cagr_5y,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,dd_start,dd_end,tracking_error_nifty100,tracking_error_nifty50,expense_ratio_pct,scheme_name,cagr_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,fund_score
1,148567,0.20360678307711866,0.3400091602163293,0.2679927700697151,1.4482911703262598,2.3856443733688186,0.2698375144191807,0.023683558075848623,-0.11265729075028275,2023-07-11,2023-10-20,0.1896636779215802,0.19399579209820508,1.46,Mirae Asset Large Cap Fund - Regular - Growth,97.43589743589743,100.0,84.61538461538461,43.58974358974359,82.05128205128204,85.89743589743588
2,120505,0.29604659337893646,0.317775371512347,0.2837676208804263,1.1801011976606492,2.0293529404657464,0.2926358334175106,0.000549004250631712,-0.18188513572116294,2024-10-24,2025-01-23,0.2319675096004632,0.23312357538323944,1.36,ICICI Pru Midcap Fund - Regular - Growth,89.74358974358975,89.74358974358975,94.87179487179486,64.1025641025641,38.46153846153847,81.7948717948718
3,120843,0.26657081760850154,0.2958277033726251,0.2674249401072899,1.3067439695428409,2.3643200321667184,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,2022-03-07,2022-04-13,0.20642496841144062,0.20514776699717424,1.45,Kotak Flexicap Fund - Regular - Growth,84.61538461538461,97.43589743589743,89.74358974358975,46.15384615384615,69.23076923076923,81.53846153846153
4,100033,0.5323239623092084,0.32442459421956116,0.260740682788986,1.093698743534631,1.8291339615146942,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,2022-03-11,2022-05-12,0.22869942052083106,0.2297551098545287,1.38,HDFC Mid-Cap Opportunities Fund - Regular - Growth,92.3076923076923,84.61538461538461,87.17948717948718,58.97435897435898,51.28205128205128,80.25641025641023
5,120504,0.13064279264417977,0.3248742855621496,0.20234028033314222,1.0265242847993001,1.8052937940992548,0.2119482701352573,0.016232169761417007,-0.12588275606922517,2022-10-04,2023-05-30,0.1915870037972257,0.19137581549582713,0.8,ICICI Pru Bluechip Fund - Direct - Growth,94.87179487179486,76.92307692307693,69.23076923076923,71.7948717948718,71.7948717948718,79.48717948717949
6,119094,0.22261065131342206,0.35111802096428524,0.24445308534360555,0.9982309868636413,1.7037974802463003,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,2022-04-14,2022-08-11,0.23765197701108368,0.2370710907370954,1.38,Axis Midcap Fund - Regular - Growth,100.0,74.35897435897436,79.48717948717949,58.97435897435898,30.76923076923077,76.41025641025642
7,119551,0.6043734071403091,0.3045652442030289,0.22384873172214603,1.2082665673727175,2.140267129061793,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,2023-08-24,2024-02-05,0.1911825685163082,0.19311962181514383,1.54,SBI Bluechip Fund - Regular Plan - Growth,87.17948717948718,92.3076923076923,76.92307692307693,24.358974358974358,58.97435897435898,74.16666666666667
8,148569,0.3975176148971702,0.2917890157839378,0.2762985997578453,1.2349300257743294,2.146913926346055,0.2827036785246582,0.018133884083859245,-0.1639674294693263,2023-08-10,2023-10-20,0.21736518889258571,0.21938892755969008,1.6,Mirae Asset Tax Saver Fund - Regular - Growth,82.05128205128204,94.87179487179486,92.3076923076923,8.974358974358974,48.717948717948715,73.01282051282051
9,101206,0.4792412023860102,0.2896769452874166,0.20442729550832484,1.0272133278753695,1.799562874698452,0.21399784776051212,0.02108631625012803,-0.11291596329323073,2023-04-24,2023-07-05,0.1927064051369653,0.19146863819697824,1.6,ABSL Frontline Equity Fund - Regular - Growth,79.48717948717949,79.48717948717949,71.7948717948718,8.974358974358974,79.48717948717949,67.37179487179486
10,119598,0.8277605861507404,0.2666992200118774,0.28033223731546975,0.9453082575156095,1.6753165700125519,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,2024-08-28,2025-05-14,0.2838814541332667,0.27803293056948225,1.43,SBI Small Cap Fund - Regular Plan - Growth,71.7948717948718,66.66666666666666,100.0,48.717948717948715,10.256410256410255,66.53846153846153
11,149323,0.21481222193726257,0.268699908289022,0.256118065778393,1.1321218524747243,1.8751010639192083,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,2022-06-06,2022-10-24,0.21952116319885415,0.21893853284063108,1.61,DSP Midcap Fund - Regular - Growth,74.35897435897436,87.17948717948718,82.05128205128204,5.128205128205128,46.15384615384615,65.8974358974359
